tree_tip_raw,tree_tip_display,tree_tip_clean_original,tree_tip_clean,was_remapped
Lepilemur_seali,Lepilemur seali,lepilemur seali,lepilemur seali,FALSE
Lepilemur_septentrionalis,Lepilemur septentrionalis,lepilemur septentrionalis,lepilemur septentrionalis,FALSE
Lophocebus_albigena,Lophocebus albigena,lophocebus albigena,lophocebus albigena,FALSE
Lophocebus_aterrimus,Lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,FALSE
Loris_lydekkerianus,Loris lydekkerianus,loris lydekkerianus,loris lydekkerianus,FALSE
Loris_tardigradus,Loris tardigradus,loris tardigradus,loris tardigradus,FALSE
Macaca_arctoides,Macaca arctoides,macaca arctoides,macaca arctoides,FALSE
Macaca_assamensis,Macaca assamensis,macaca assamensis,macaca assamensis,FALSE
Macaca_brunnescens,Macaca brunnescens,macaca brunnescens,macaca brunnescens,FALSE
Macaca_cyclopis,Macaca cyclopis,macaca cyclopis,macaca cyclopis,FALSE
Macaca_fascicularis,Macaca fascicularis,macaca fascicularis,macaca fascicularis,FALSE
Macaca_fuscata,Macaca fuscata,macaca fuscata,macaca fuscata,FALSE
Macaca_hecki,Macaca hecki,macaca hecki,macaca hecki,FALSE
Macaca_leonina,Macaca leonina,macaca leonina,macaca leonina,FALSE
Macaca_maura,Macaca maura,macaca maura,macaca maura,FALSE
Macaca_mulatta,Macaca mulatta,macaca mulatta,macaca mulatta,FALSE
Macaca_munzala,Macaca munzala,macaca munzala,macaca munzala,FALSE
Macaca_nemestrina,Macaca nemestrina,macaca nemestrina,macaca nemestrina,FALSE
Macaca_nemestrina_leonina,Macaca nemestrina leonina,macaca nemestrina,macaca nemestrina,FALSE
Macaca_nemestrina_siberu,Macaca nemestrina siberu,macaca nemestrina,macaca nemestrina,FALSE
Macaca_nigra,Macaca nigra,macaca nigra,macaca nigra,FALSE
Macaca_nigrescens,Macaca nigrescens,macaca nigrescens,macaca nigrescens,FALSE
Macaca_ochreata,Macaca ochreata,macaca ochreata,macaca ochreata,FALSE
Macaca_pagensis,Macaca pagensis,macaca pagensis,macaca pagensis,FALSE
Macaca_radiata,Macaca radiata,macaca radiata,macaca radiata,FALSE
Macaca_silenus,Macaca silenus,macaca silenus,macaca silenus,FALSE
Macaca_sinica,Macaca sinica,macaca sinica,macaca sinica,FALSE
Macaca_sylvanus,Macaca sylvanus,macaca sylvanus,macaca sylvanus,FALSE
Macaca_thibetana,Macaca thibetana,macaca thibetana,macaca thibetana,FALSE
Macaca_tonkeana,Macaca tonkeana,macaca tonkeana,macaca tonkeana,FALSE
Mandrillus_leucophaeus,Mandrillus leucophaeus,mandrillus leucophaeus,mandrillus leucophaeus,FALSE
Mandrillus_sphinx,Mandrillus sphinx,mandrillus sphinx,mandrillus sphinx,FALSE
Microcebus_berthae,Microcebus berthae,microcebus berthae,microcebus berthae,FALSE
Microcebus_bongolavensis,Microcebus bongolavensis,microcebus bongolavensis,microcebus bongolavensis,FALSE
Microcebus_danfossi,Microcebus danfossi,microcebus danfossi,microcebus danfossi,FALSE
Microcebus_griseorufus,Microcebus griseorufus,microcebus griseorufus,microcebus griseorufus,FALSE
Microcebus_jollyae,Microcebus jollyae,microcebus jollyae,microcebus jollyae,FALSE
Microcebus_lehilahytsara,Microcebus lehilahytsara,microcebus lehilahytsara,microcebus lehilahytsara,FALSE
Microcebus_lokobensis,Microcebus lokobensis,microcebus lokobensis,microcebus lokobensis,FALSE
Microcebus_macarthurii,Microcebus macarthurii,microcebus macarthurii,microcebus macarthurii,FALSE
Microcebus_mamiratra,Microcebus mamiratra,microcebus mamiratra,microcebus mamiratra,FALSE
Microcebus_mittermeieri,Microcebus mittermeieri,microcebus mittermeieri,microcebus mittermeieri,FALSE
Microcebus_murinus,Microcebus murinus,microcebus murinus,microcebus murinus,FALSE
Microcebus_myoxinus,Microcebus myoxinus,microcebus myoxinus,microcebus myoxinus,FALSE
Microcebus_ravelobensis,Microcebus ravelobensis,microcebus ravelobensis,microcebus ravelobensis,FALSE
Microcebus_rufus,Microcebus rufus,microcebus rufus,microcebus rufus,FALSE
Microcebus_sambiranensis,Microcebus sambiranensis,microcebus sambiranensis,microcebus sambiranensis,FALSE
Microcebus_simmonsi,Microcebus simmonsi,microcebus simmonsi,microcebus simmonsi,FALSE
Microcebus_tavaratra,Microcebus tavaratra,microcebus tavaratra,microcebus tavaratra,FALSE
Miopithecus_talapoin,Miopithecus talapoin,miopithecus talapoin,miopithecus talapoin,FALSE
Mirza_coquereli,Mirza coquereli,mirza coquereli,mirza coquereli,FALSE
Mirza_zaza,Mirza zaza,mirza zaza,mirza zaza,FALSE
Nasalis_larvatus,Nasalis larvatus,nasalis larvatus,nasalis larvatus,FALSE
Nomascus_concolor,Nomascus concolor,nomascus concolor,nomascus concolor,FALSE
