scientific_name,routine_trichromacy,diet_pct_fruit_eltontraits,z_frugivory,longevity_years,log_longevity,abs_latitude,uv,foraging_stratum_eltontraits,arboreal,uv_arb,luv_arb,z_uv_arb
Hylobates agilis,1,70,1.4651108841041762,44,3.784189633918261,0.16,0.9999961008995606,arboreal,0.1,0.09999961008995606,4.399982843958067,-0.4498699764054114
Hylobates albibarbis,1,70,1.4651108841041762,NA,NA,1.6300000000000001,0.9995953582807828,arboreal,0.1,0.09995953582807829,NA,-0.4499917250204226
Hylobates klossii,1,70,1.4651108841041762,37,3.6109179126442243,2.13,0.9993090701927474,arboreal,0.1,0.09993090701927475,3.697443559713166,-0.45007870149005497
Hylobates lar,1,70,1.4651108841041762,40,3.6888794541139363,13.68,0.971631732914674,arboreal,0.1,0.0971631732914674,3.886526931658696,-0.4584872842634127
Hylobates moloch,1,70,1.4651108841041762,45,3.8066624897703196,7,0.992546151641322,arboreal,0.1,0.0992546151641322,4.466457682385949,-0.45213332689920477
Hylobates muelleri,1,70,1.4651108841041762,60,4.0943445622221,1.1300000000000001,0.9998055233121944,arboreal,0.1,0.09998055233121944,5.998833139873167,-0.44992787530666817
Hylobates pileatus,1,70,1.4651108841041762,36,3.58351893845611,12.92,0.9746832058153599,arboreal,0.1,0.097468320581536,3.508859540935296,-0.4575602238959979
Nomascus concolor,1,80,1.9690025956632742,44.1,3.7864597824528,22.7,0.9225380894562464,arboreal,0.1,0.09225380894562464,4.068392974502046,-0.47340230157589575
Nomascus gabriellae,1,80,1.9690025956632742,NA,NA,11.75,0.9790454724845838,arboreal,0.1,0.09790454724845839,NA,-0.45623493454467406
Nomascus hainanus,1,80,1.9690025956632742,NA,NA,20.630000000000003,0.9358751835780664,arboreal,0.1,0.09358751835780665,NA,-0.4693503922916803
Nomascus leucogenys,1,80,1.9690025956632742,44.1,3.7864597824528,20.91,0.9341421975660468,arboreal,0.1,0.09341421975660469,4.1195670912662665,-0.46987688644755715
Nomascus siki,1,80,1.9690025956632742,NA,NA,17.56,0.9534015294951232,arboreal,0.1,0.09534015294951233,NA,-0.46402575687327174
Symphalangus syndactylus,1,80,1.9690025956632742,38,3.6375861597263857,0.14,0.9999970147507714,arboreal,0.1,0.09999970147507714,3.7999886560529315,-0.4498696987705554
Avahi occidentalis,0,0,-2.0621310968095106,NA,NA,17.38,0.9543446553069651,arboreal,0.1,0.09543446553069651,NA,-0.4637392281738204
Indri indri,0,30,-0.5504559621322163,NA,NA,17.23,0.9551233988089903,arboreal,0.1,0.09551233988089904,NA,-0.4635026400537204
Propithecus coquereli,0,30,-0.5504559621322163,NA,NA,15.49,0.9636770804269577,arboreal,0.1,0.09636770804269577,NA,-0.4609039673859342
Propithecus deckenii,0,30,-0.5504559621322163,NA,NA,17.67,0.9528205419959803,arboreal,0.1,0.09528205419959804,NA,-0.4642022652356097
Propithecus diadema,0,30,-0.5504559621322163,21,3.044522437723423,17,0.9563047559630354,arboreal,0.1,0.09563047559630355,2.0082399875223746,-0.4631437348846687
Propithecus edwardsi,0,40,-0.04656425057311814,NA,NA,21.39,0.9311194846939218,arboreal,0.1,0.09311194846939219,NA,-0.4707952093024617
Propithecus perrieri,0,30,-0.5504559621322163,NA,NA,12.84,0.9749944466507005,arboreal,0.1,0.09749944466507005,NA,-0.4574656665944729
Propithecus tattersalli,0,30,-0.5504559621322163,20,2.995732273553991,13.08,0.9740550241708108,arboreal,0.1,0.09740550241708108,1.9481100483416216,-0.45775107019388506
Propithecus verreauxi,0,30,-0.5504559621322163,20.6,3.0252910757955354,22.630000000000003,0.9230088740101037,arboreal,0.1,0.09230088740101038,1.9013982804608138,-0.4732592736953682
Eulemur albifrons,0,40,-0.04656425057311814,NA,NA,15.5,0.963630453208623,arboreal,0.1,0.0963630453208623,NA,-0.4609181330847845
Eulemur albocollaris,0,80,1.9690025956632742,NA,NA,22.9,0.9211854055657213,arboreal,0.1,0.09211854055657213,NA,-0.47381325709323435
Eulemur cinereiceps,0,80,1.9690025956632742,NA,NA,13.370000000000001,0.972897087776357,arboreal,0.1,0.09728970877763571,NA,-0.45810285996040856
Eulemur collaris,0,100,2.9767860187814703,NA,NA,24.08,0.9129766558365072,arboreal,0.1,0.09129766558365073,NA,-0.4763071368646298
Eulemur coronatus,0,30,-0.5504559621322163,18.4,2.91235066461494,13.06,0.9741339623769198,arboreal,0.1,0.09741339623769199,1.7924064907735324,-0.4577270881744667
Eulemur fulvus,0,30,-0.5504559621322163,37,3.6109179126442243,16.64,0.9581228928381096,arboreal,0.1,0.09581228928381097,3.545054703501006,-0.46259137125756983
Eulemur macaco,0,30,-0.5504559621322163,30,3.4011973816621555,13.94,0.9705485342222299,arboreal,0.1,0.09705485342222299,2.9116456026666895,-0.45881636815518667
Eulemur mongoz,0,20,-1.0543476736913144,30,3.4011973816621555,16.110000000000003,0.960730738986695,arboreal,0.1,0.09607307389866951,2.8821922169600853,-0.4617990880266994
Eulemur rubriventer,0,30,-0.5504559621322163,31.7,3.456316680883235,18.45,0.9486001946255046,arboreal,0.1,0.09486001946255046,3.0070626169628496,-0.4654844384389215
Eulemur rufus,0,30,-0.5504559621322163,NA,NA,19.51,0.9425832164476295,arboreal,0.1,0.09425832164476296,NA,-0.46731244156457735
Eulemur sanfordi,0,80,1.9690025956632742,NA,NA,12.78,0.9752266299092234,arboreal,0.1,0.09752266299092234,NA,-0.45739512757808337
Hapalemur alaotrensis,0,0,-2.0621310968095106,NA,NA,17.5,0.9537169507482269,arboreal,0.1,0.0953716950748227,NA,-0.4639299295294579
Hapalemur aureus,0,0,-2.0621310968095106,NA,NA,21.66,0.9293904770216437,arboreal,0.1,0.09293904770216438,NA,-0.4713204948088691
Hapalemur griseus,0,0,-2.0621310968095106,17.1,2.8390784635086144,19.45,0.9429324335619231,arboreal,0.1,0.09429324335619232,1.6124144613908888,-0.46720634678450834
Hapalemur occidentalis,0,0,-2.0621310968095106,NA,NA,16.32,0.9597072623390667,arboreal,0.1,0.09597072623390668,NA,-0.46211002791306627
Lemur catta,0,80,1.9690025956632742,30,3.4011973816621555,23.05,0.9201635257593654,scansorial,1,0.9201635257593654,27.604905772780963,2.041849549696129
Prolemur simus,0,10,-1.5582393852504124,12,2.4849066497880004,21.759999999999998,0.9287448642521512,arboreal,0.1,0.09287448642521512,1.1144938371025814,-0.47151663681332834
