scientific_name_raw,scientific_name_display,scientific_name_clean_original,scientific_name_clean,merged_from_species,n_rows_collapsed,n_unique_input_species,routine_trichromacy,routine_trichromacy_conflict,diet_pct_fruit_eltontraits,longevity_years,log_longevity,abs_latitude,uv_i,foraging_stratum_eltontraits,foraging_stratum_conflict,arboreal_i,luv_raw,z_frugivory,z_luv,z_lifetime
Cercopithecus wolfi,Cercopithecus wolfi,cercopithecus wolfi,cercopithecus wolfi,cercopithecus wolfi,1,1,1,FALSE,70,24,3.1780538303479458,1.87,0.9994674389493003,arboreal,FALSE,0.1,23.98721853478321,1.4681157166858536,-0.4236064186021591,-0.43004256698144416
Chlorocebus aethiops,Chlorocebus aethiops,chlorocebus aethiops,chlorocebus aethiops,chlorocebus aethiops,1,1,1,FALSE,40,31.6,3.4531571205928664,12.6,0.9759167619387474,scansorial,FALSE,1,30.83896967726442,-0.043376146174809144,0.25364878115528877,0.157364338518652
Colobus angolensis,Colobus angolensis,colobus angolensis,colobus angolensis,colobus angolensis,1,1,1,FALSE,30,35.3,3.563882963939251,4.159999999999999,0.9973653640879485,arboreal,FALSE,0.1,35.20699735230458,-0.5472067671283634,0.685402561187369,0.4433387530384353
Colobus guereza,Colobus guereza,colobus guereza,colobus guereza,colobus guereza,1,1,1,FALSE,30,24.5,3.1986731175506815,5.1499999999999995,0.9959631112479873,arboreal,FALSE,0.1,24.40109622557569,-0.5472067671283634,-0.3826970492564261,-0.391397375830122
Colobus polykomos,Colobus polykomos,colobus polykomos,colobus polykomos,colobus polykomos,1,1,1,FALSE,30,30.5,3.417726683613366,9.06,0.9875239812756824,arboreal,FALSE,0.1,30.119481428908315,-0.5472067671283634,0.18253161019699082,0.07234491798574326
Erythrocebus patas,Erythrocebus patas,erythrocebus patas,erythrocebus patas,erythrocebus patas,1,1,1,FALSE,40,23.9,3.173878458937465,7.970000000000001,0.9903408038596959,ground,FALSE,1,23.669145212246733,-0.043376146174809144,-0.4550460910468224,-0.43777160521170866
Eulemur coronatus,Eulemur coronatus,eulemur coronatus,eulemur coronatus,eulemur coronatus,1,1,0,FALSE,30,18.4,2.91235066461494,13.06,0.9741339623769198,arboreal,FALSE,0.1,17.924064907735325,-0.5472067671283634,-1.022913403846723,-0.8628687078762519
Eulemur fulvus,Eulemur fulvus,eulemur fulvus,eulemur fulvus,eulemur fulvus,1,1,0,FALSE,30,37,3.6109179126442243,16.64,0.9581228928381096,arboreal,FALSE,0.1,35.450547035010054,-0.5472067671283634,0.7094760112560511,0.5747324029529307
Eulemur macaco,Eulemur macaco,eulemur macaco,eulemur macaco,eulemur macaco,1,1,0,FALSE,30,30,3.4011973816621555,13.94,0.9705485342222299,arboreal,FALSE,0.1,29.116456026666896,-0.5472067671283634,0.08338846342607464,0.03369972683442115
Eulemur mongoz,Eulemur mongoz,eulemur mongoz,eulemur mongoz,eulemur mongoz,1,1,0,FALSE,20,30,3.4011973816621555,16.110000000000003,0.960730738986695,arboreal,FALSE,0.1,28.82192216960085,-1.0510373880819177,0.05427552834502012,0.03369972683442115
Eulemur rubriventer,Eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,eulemur rubriventer,1,1,0,FALSE,30,31.7,3.456316680883235,18.45,0.9486001946255046,arboreal,FALSE,0.1,30.070626169628497,-0.5472067671283634,0.17770255588741274,0.16509337674891628
Gorilla gorilla,Gorilla gorilla,gorilla gorilla,gorilla gorilla,gorilla gorilla,1,1,1,FALSE,10,54,3.9889840465642745,0.88,0.9998820544536569,ground,FALSE,1,53.99363094049747,-1.5548680090354718,2.5423505178427352,1.8886689020978824
Hapalemur griseus,Hapalemur griseus,hapalemur griseus,hapalemur griseus,hapalemur griseus,1,1,0,FALSE,0,17.1,2.8390784635086144,19.45,0.9429324335619231,arboreal,FALSE,0.1,16.124144613908886,-2.058698629989026,-1.2008249118384557,-0.9633462048696891
Hylobates agilis,Hylobates agilis,hylobates agilis,hylobates agilis,hylobates agilis,1,1,1,FALSE,70,44,3.784189633918261,0.16,0.9999961008995606,arboreal,FALSE,0.1,43.99982843958067,1.4681157166858536,1.554522068100779,1.1157650790714402
Hylobates klossii,Hylobates klossii,hylobates klossii,hylobates klossii,hylobates klossii,1,1,1,FALSE,70,37,3.6109179126442243,2.13,0.9993090701927474,arboreal,FALSE,0.1,36.97443559713165,1.4681157166858536,0.8601034101627216,0.5747324029529307
Hylobates lar,Hylobates lar,hylobates lar,hylobates lar,hylobates lar,1,1,1,FALSE,70,40,3.6888794541139363,13.68,0.971631732914674,arboreal,FALSE,0.1,38.86526931658696,1.4681157166858536,1.047001174215794,0.8066035498608634
Hylobates moloch,Hylobates moloch,hylobates moloch,hylobates moloch,hylobates moloch,1,1,1,FALSE,70,45,3.8066624897703196,7,0.992546151641322,arboreal,FALSE,0.1,44.66457682385949,1.4681157166858536,1.6202285262632632,1.1930554613740845
Hylobates muelleri,Hylobates muelleri,hylobates muelleri,hylobates muelleri,hylobates muelleri,1,1,1,FALSE,70,60,4.0943445622221,1.1300000000000001,0.9998055233121944,arboreal,FALSE,0.1,59.98833139873167,1.4681157166858536,3.1348913109774443,2.3524111959137475
Hylobates pileatus,Hylobates pileatus,hylobates pileatus,hylobates pileatus,hylobates pileatus,1,1,1,FALSE,70,36,3.58351893845611,12.92,0.9746832058153599,arboreal,FALSE,0.1,35.088595409352955,1.4681157166858536,0.6736992272720137,0.4974420206502865
Lagothrix lagotricha,Lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,lagothrix lagotricha,1,1,0,FALSE,70,30,3.4011973816621555,0.02,0.9999999390765166,arboreal,FALSE,0.1,29.9999981722955,1.4681157166858536,0.17072139480208667,0.03369972683442115
Lemur catta,Lemur catta,lemur catta,lemur catta,lemur catta,1,1,0,FALSE,80,30,3.4011973816621555,23.05,0.9201635257593654,scansorial,FALSE,1,27.604905772780963,1.9719463376394077,-0.06601936646312155,0.03369972683442115
Leontopithecus chrysomelas,Leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,leontopithecus chrysomelas,1,1,0,FALSE,50,21.3,3.0587070727153796,15.01,0.965880639132367,arboreal,FALSE,0.1,20.573257613519417,0.46045447477874507,-0.7610563255842371,-0.6387265991985834
Leontopithecus chrysopygus,Leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,leontopithecus chrysopygus,1,1,0,FALSE,50,17.9,2.884800712846709,21.99,0.9272492216291858,arboreal,FALSE,0.1,16.597761067162423,0.46045447477874507,-1.1540107180671852,-0.901513899027574
Leontopithecus rosalia,Leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,leontopithecus rosalia,1,1,0,FALSE,50,24.8,3.2108436531709366,22.1,0.9265286308718373,arboreal,FALSE,0.1,22.977910045621567,0.46045447477874507,-0.5233706114675352,-0.3682102611393287
Lophocebus albigena,Lophocebus albigena,lophocebus albigena,lophocebus albigena,lophocebus albigena,1,1,1,FALSE,50,32.7,3.487375077903208,0.22,0.9999926282674982,arboreal,FALSE,0.1,32.699758944347195,0.46045447477874507,0.4375768282454953,0.24238375905156076
Lophocebus aterrimus,Lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,lophocebus aterrimus,1,1,1,FALSE,40,26.8,3.288401887516811,1.6500000000000001,0.9995853681937397,arboreal,FALSE,0.1,26.788887867592223,-0.043376146174809144,-0.1466779248216967,-0.2136294965340403
Macaca arctoides,Macaca arctoides,macaca arctoides,macaca arctoides,macaca arctoides,1,1,1,FALSE,30,30,3.4011973816621555,17.16,0.9554845724739565,scansorial,FALSE,1,28.664537174218694,-0.5472067671283634,0.03871894955664226,0.03369972683442115
Macaca assamensis,Macaca assamensis,macaca assamensis,macaca assamensis,macaca assamensis,1,1,1,FALSE,30,31.4,3.4468078929142076,23.01,0.9204366439858742,scansorial,FALSE,1,28.90171062115645,-0.5472067671283634,0.06216214631653293,0.14190626205812296
Macaca fascicularis,Macaca fascicularis,macaca fascicularis,macaca fascicularis,macaca fascicularis,1,1,1,FALSE,40,38,3.6375861597263857,4.13,0.9974032102313197,scansorial,FALSE,1,37.90132198879015,-0.043376146174809144,0.9517206646837046,0.6520227852555749
Macaca fuscata,Macaca fuscata,macaca fuscata,macaca fuscata,macaca fuscata,1,1,1,FALSE,30,33,3.4965075614664802,35.879999999999995,0.8102462736564354,scansorial,FALSE,1,26.73812703066237,-0.5472067671283634,-0.15169533424592954,0.2655708737423538
Macaca maura,Macaca maura,macaca maura,macaca maura,macaca maura,1,1,1,FALSE,30,33,3.4965075614664802,4.98,0.996225060492936,scansorial,FALSE,1,32.87542699626689,-0.5472067671283634,0.4549405793683638,0.2655708737423538
Macaca mulatta,Macaca mulatta,macaca mulatta,macaca mulatta,macaca mulatta,1,1,1,FALSE,30,36,3.58351893845611,25.07,0.9057907851659387,scansorial,FALSE,1,32.60846826597379,-0.5472067671283634,0.4285532829747919,0.4974420206502865
Macaca nemestrina,Macaca nemestrina,macaca nemestrina,macaca nemestrina,macaca nemestrina,1,1,1,FALSE,70,34.3,3.535145354171894,3.04,0.9985927540074452,scansorial,FALSE,1,34.25173146245537,1.4681157166858536,0.590980160607154,0.36604837073579105
Macaca nigra,Macaca nigra,macaca nigra,macaca nigra,macaca nigra,1,1,1,FALSE,70,18,2.8903717578961645,1.01,0.9998446339083082,scansorial,FALSE,1,17.99720341034955,1.4681157166858536,-1.0156840941172953,-0.8937848607973095
